sp,sp_num,cell
protco,175,1
guargu,10,1
faraoc,126,1
hybapr,146,1
ingaqu,167,1
faraoc,126,1
protco,175,1
poular,8,1
xyl1ma,83,1
protte,4,1
tet2pa,25,1
poular,8,1
pipepe,211,1
faraoc,126,1
des2pa,157,1
nectpu,181,1
ingago,133,1
pri2co,19,1
hybapr,146,1
maquco,161,1
protpa,144,1
guapst,22,1
hirttr,16,1
beilpe,9,1
guarsp,168,1
ocotce,106,1
faraoc,126,1
tet2pa,25,1
protte,4,1
virosu,2,1
socrex,182,1
calolo,45,1
pipecu,257,1
beilpe,9,1
randar,75,1
tri2tu,7,1
hirttr,16,1
oenoma,148,1
brosal,5,1
soroaf,150,1
hybapr,146,1
hybapr,146,1
tab1gu,55,1
hybapr,146,1
malmsp,152,1
ingago,133,1
pentma,173,1
acaldi,193,1
oenoma,148,1
hassfl,96,1
hybapr,146,1
sympgl,59,1
hybapr,146,1
hybapr,146,1
guarsp,168,1
tet2pa,25,1
beilpe,9,1
pentma,173,1
beilpe,9,1
tet2pa,25,1
faraoc,126,1
caseac,162,1
ast2gr,66,1
hybapr,146,1
cestme,216,1
des2pa,157,1
loncla,88,1
ocotwh,74,1
heisco,43,1
hybapr,146,1
soroaf,150,1
tab1ro,52,1
malpro,196,1
ast2gr,66,1
poular,8,1
hybapr,146,1
tachve,115,1
ingaum,188,1
poular,8,1
olmeas,178,1
pipere,197,1
brosal,5,1
brosal,5,1
unonpi,76,1
tri2tu,7,1
hybapr,146,1
hassfl,96,1
faraoc,126,1
ormoma,118,1
hybapr,146,1
acaldi,193,1
faraoc,126,1
guargu,10,1
faraoc,126,1
hybapr,146,1
hybapr,146,1
termam,113,1
pipeae,187,1
tab1ro,52,1
pipeco,240,1
tet2pa,25,1
acaldi,193,1
hassfl,96,1
tet2pa,25,1
acaldi,193,1
tet2pa,25,1
gar2in,62,1
hirttr,16,1
pipeco,240,1
apeime,30,1
protte,4,1
herrpu,165,1
tri2tu,7,1
des2pa,157,1
hybapr,146,1
des2pa,157,1
protte,4,1
hybapr,146,1
beilpe,9,1
tab1ro,52,1
chr2ar,28,1
acaldi,193,1
brosal,5,1
acaldi,193,1
picrla,159,1
calolo,45,1
cecrob,117,1
acaldi,193,1
simaam,39,1
hybapr,146,1
calolo,45,1
acalma,266,1
acalma,266,1
poular,8,1
soroaf,150,1
calolo,45,1
hybapr,146,1
ardife,145,1
soroaf,150,1
hybapr,146,1
des2pa,157,1
acaldi,193,1
calolo,45,1
hybapr,146,1
sipagu,256,1
hybapr,146,1
solaar,265,1
gar2in,62,1
herrpu,165,1
pourbi,143,1
mourmy,158,1
acaldi,193,1
acaldi,193,1
des2pa,157,1
acalma,266,1
pourbi,143,1
ingama,174,1
cordla,132,1
hybapr,146,1
calolo,45,1
tri2tu,7,1
des2pa,157,1
quaras,3,1
beilpe,9,1
hirttr,16,1
tri2tu,7,1
pourbi,143,1
tri2tu,7,1
cecrin,101,1
tab2ar,26,1
socrex,182,1
faraoc,126,1
tri2tu,7,1
faraoc,126,1
hybapr,146,1
tab1ro,52,1
pipepe,211,1
quaras,3,1
acaldi,193,1
annoac,147,1
pourbi,143,1
pourbi,143,1
cupasy,124,1
tet2pa,25,1
cupasy,124,1
acaldi,193,1
chr1ec,179,1
thevah,189,1
tachve,115,1
swars2,139,1
chr1ec,179,1
faraoc,126,1
virose,57,1
socrex,182,1
acaldi,193,1
acaldi,193,1
sponmo,49,1
sympgl,59,1
mourmy,158,1
hassfl,96,1
acaldi,193,1
des2pa,157,1
soroaf,150,1
hirttr,16,1
faraoc,126,1
acaldi,193,1
acaldi,193,1
swars2,139,1
pourbi,143,1
hybapr,146,1
tet2pa,25,2
tab2ar,26,2
faraoc,126,2
soroaf,150,2
heisac,183,2
faraoc,126,2
mourmy,158,2
tratas,38,2
pri2co,19,2
hybapr,146,2
sipagu,256,2
faraoc,126,2
hirttr,16,2
des2pa,157,2
pri2co,19,2
alsebl,14,2
guarsp,168,2
nectpu,181,2
faraoc,126,2
protte,4,2
guargu,10,2
hirttr,16,2
acaldi,193,2
apeime,30,2
faraoc,126,2
soroaf,150,2
protpa,144,2
faraoc,126,2
gar2in,62,2
socrex,182,2
des2pa,157,2
quaras,3,2
faraoc,126,2
faraoc,126,2
virose,57,2
gar2in,62,2
soroaf,150,2
eugeco,85,2
nectpu,181,2
neeaam,229,2
mourmy,158,2
des2pa,157,2
acaldi,193,2
des2pa,157,2
tet2pa,25,2
laciag,163,2
swars2,139,2
faraoc,126,2
calolo,45,2
simaam,39,2
cordbi,24,2
alibed,169,2
hybapr,146,2
soroaf,150,2
tab2ar,26,2
hybapr,146,2
poular,8,2
faraoc,126,2
poular,8,2
maytsc,94,2
simaam,39,2
acaldi,193,2
acaldi,193,2
protpa,144,2
protte,4,2
poular,8,2
tet2pa,25,2
swars2,139,2
pourbi,143,2
stylst,171,2
poular,8,2
calolo,45,2
maquco,161,2
tri2tu,7,2
protte,4,2
des2pa,157,2
virose,57,2
olmeas,178,2
hybapr,146,2
tri2tu,7,2
des2pa,157,2
picrla,159,2
mourmy,158,2
eugeoe,170,2
eugeoe,170,2
hybapr,146,2
faraoc,126,2
mourmy,158,2
tab2ar,26,2
heisco,43,2
loncla,88,2
tri2tu,7,2
des2pa,157,2
mourmy,158,2
des2pa,157,2
faraoc,126,2
nectci,90,2
cordla,132,2
faraoc,126,2
beilpe,9,2
faraoc,126,2
faraoc,126,2
pri2co,19,2
hybapr,146,2
mourmy,158,2
calolo,45,2
faraoc,126,2
ingasa,151,2
alsebl,14,2
gar2in,62,2
chr1ec,179,2
tet2pa,25,2
cou2cu,164,2
guargu,10,2
maquco,161,2
tet2pa,25,2
tab2ar,26,2
gar2ma,131,2
tet2pa,25,2
socrex,182,2
nectpu,181,2
tet2pa,25,2
swars2,139,2
beilpe,9,2
hybapr,146,2
tet2pa,25,2
faraoc,126,2
sipagu,256,2
tet2pa,25,2
mourmy,158,2
protpa,144,2
soroaf,150,2
faraoc,126,2
simaam,39,2
protco,175,2
laciag,163,2
hybapr,146,2
loncla,88,2
mourmy,158,2
hybapr,146,2
loncla,88,2
psycho,154,2
des2pa,157,2
ast2gr,66,2
sipagu,256,2
mourmy,158,2
des2pa,157,2
nectpu,181,2
oenoma,148,2
faraoc,126,2
des2pa,157,2
psycho,154,2
gar2in,62,2
laciag,163,2
mourmy,158,2
hybapr,146,2
swars2,139,2
protpa,144,2
cou2cu,164,2
protpa,144,2
soroaf,150,2
nectpu,181,2
loncla,88,2
tet2pa,25,2
eugega,166,2
pri2co,19,2
protpa,144,2
protte,4,2
psycho,154,2
coccma,177,2
loncla,88,2
protte,4,2
pterro,73,2
hybapr,146,2
protte,4,2
hybapr,146,2
protpa,144,2
alsebl,14,2
pri2co,19,2
soroaf,150,2
coccco,134,2
eugega,166,2
mourmy,158,2
des2pa,157,2
faraoc,126,2
socrex,182,2
hirttr,16,2
gar2in,62,2
hybapr,146,2
psycho,154,2
psycho,154,2
psycho,154,2
heisco,43,2
loncla,88,2
pri2co,19,2
protte,4,2
soroaf,150,2
apeime,30,2
gustsu,1,2
alibed,169,2
oenoma,148,2
protte,4,2
des2pa,157,2
hybapr,146,2
hybapr,146,2
des2pa,157,2
herrpu,165,2
mourmy,158,2
alsebl,14,2
tri2tu,7,2
protte,4,2
faraoc,126,2
ingath,251,2
tri2tu,7,2
faraoc,126,2
cappfr,160,2
des2pa,157,2
swars2,139,2
protpa,144,2
hybapr,146,2
tet2pa,25,2
faraoc,126,2
faraoc,126,2
swars2,139,2
malmsp,152,2
tab2ar,26,2
alsebl,14,2
protpa,144,2
calolo,45,2
acaldi,193,2
loncla,88,2
ingasa,151,2
swars1,21,2
swars1,21,2
protpa,144,2
xyl2ol,201,2
swars2,139,2
oenoma,148,2
pri2co,19,2
beilpe,9,2
gar2in,62,2
swars2,139,2
psycho,154,2
pri2co,19,2
maquco,161,2
des2pa,157,2
hybapr,146,2
ouralu,156,2
des2pa,157,2
faraoc,126,2
faraoc,126,2
pri2co,19,2
swars2,139,2
faraoc,126,2
tachve,115,2
loncla,88,2
gar2ma,131,2
swars2,139,2
protpa,144,2
ery2pa,199,2
mourmy,158,2
maytsc,94,2
brosal,5,2
ast2gr,66,2
tet2pa,25,2
cappfr,160,2
guatdu,71,2
randar,75,2
des2pa,157,2
virose,57,2
psycho,154,2
protte,4,2
oenoma,148,2
faraoc,126,2
gar2ma,131,2
pri2co,19,2
cassel,95,2
faraoc,126,2
faraoc,126,2
faraoc,126,2
brosal,5,2
drypst,35,2
ouralu,156,2
gar2ma,131,2
randar,75,2
socrex,182,2
mourmy,158,2
des2pa,157,2
des2pa,157,2
protte,4,2
hirttr,16,2
cappfr,160,2
caseac,162,2
calolo,45,2
heisco,43,2
cappfr,160,2
tet2pa,25,2
swars2,139,3
randar,75,3
faraoc,126,3
cupasy,124,3
poutre,23,3
ouralu,156,3
oenoma,148,3
psycho,154,3
hybapr,146,3
faraoc,126,3
soroaf,150,3
hybapr,146,3
hybapr,146,3
des2pa,157,3
alsebl,14,3
alsebl,14,3
acaldi,193,3
acaldi,193,3
swars1,21,3
micoar,120,3
sponmo,49,3
acaldi,193,3
acaldi,193,3
acaldi,193,3
mourmy,158,3
des2pa,157,3
protte,4,3
eugega,166,3
cecrin,101,3
acaldi,193,3
cecrin,101,3
faraoc,126,3
faraoc,126,3
mourmy,158,3
maquco,161,3
ochrpy,258,3
oenoma,148,3
cappfr,160,3
protte,4,3
maquco,161,3
coccma,177,3
faraoc,126,3
nectpu,181,3
swars1,21,3
hirttr,16,3
alsebl,14,3
faraoc,126,3
alsebl,14,3
hirttr,16,3
beilpe,9,3
micoar,120,3
faraoc,126,3
eugega,166,3
ochrpy,258,3
protpa,144,3
psycho,154,3
tab2ar,26,3
hirttr,16,3
faraoc,126,3
malmsp,152,3
tri2tu,7,3
mourmy,158,3
sipapa,86,3
tet2pa,25,3
alsebl,14,3
des2pa,157,3
acaldi,193,3
cordla,132,3
alsebl,14,3
sloate,13,3
hybapr,146,3
cordla,132,3
hybapr,146,3
faraoc,126,3
alsebl,14,3
faraoc,126,3
tet2pa,25,3
mourmy,158,3
mourmy,158,3
laciag,163,3
aspicr,60,3
socrex,182,3
guetfo,54,3
mourmy,158,3
hybapr,146,3
eugene,18,3
acaldi,193,3
faraoc,126,3
cordla,132,3
des2pa,157,3
alsebl,14,3
faraoc,126,3
malmsp,152,3
alsebl,14,3
alsebl,14,3
mourmy,158,3
pri2co,19,3
mourmy,158,3
protpa,144,3
alsebl,14,3
alsebl,14,3
des2pa,157,3
malpro,196,3
faraoc,126,3
alsebl,14,3
hybapr,146,3
acaldi,193,3
acaldi,193,3
cou2cu,164,3
alsebl,14,3
pourbi,143,3
eugega,166,3
alsebl,14,3
alsebl,14,3
hybapr,146,3
alsebl,14,3
poular,8,3
alsebl,14,3
mourmy,158,3
virose,57,3
socrex,182,3
acaldi,193,3
faraoc,126,3
faraoc,126,3
ormocr,109,3
tab1gu,55,3
cappfr,160,3
tab2ar,26,3
faraoc,126,3
aspicr,60,3
oenoma,148,3
faraoc,126,3
faraoc,126,3
tet2pa,25,3
herrpu,165,3
pterro,73,3
pentma,173,3
hirttr,16,3
laciag,163,3
eugene,18,3
des2pa,157,3
alsebl,14,3
cordla,132,3
apeiti,40,3
alsebl,14,3
alibed,169,3
chr2ar,28,3
tet2pa,25,3
stylst,171,3
cupasy,124,3
mourmy,158,3
hybapr,146,3
simaam,39,3
hybapr,146,3
mourmy,158,3
hybapr,146,3
hybapr,146,3
nectci,90,3
alsebl,14,3
hybapr,146,3
faraoc,126,3
mourmy,158,3
neeaam,229,3
tropra,70,3
gar2in,62,3
protpa,144,3
cupasy,124,3
swars2,139,3
mourmy,158,3
nectci,90,3
mourmy,158,3
alsebl,14,3
pri2co,19,3
des2pa,157,3
talipr,172,3
guapst,22,3
cappfr,160,3
faraoc,126,3
cou2cu,164,3
faraoc,126,3
swars2,139,3
xyl2ol,201,3
laciag,163,3
maquco,161,3
faraoc,126,3
faraoc,126,3
hybapr,146,3
swars1,21,3
cupasy,124,3
mourmy,158,3
faraoc,126,3
eugega,166,3
brosal,5,3
swars2,139,3
faraoc,126,3
faraoc,126,3
des2pa,157,3
heisco,43,3
acaldi,193,3
simaam,39,3
acaldi,193,3
chr2ar,28,3
cecrin,101,3
pipere,197,3
pri2co,19,3
cou2cu,164,3
protte,4,3
tropra,70,3
cou2cu,164,3
maquco,161,3
ochrpy,258,3
des2pa,157,3
cordal,44,3
hybapr,146,3
cordal,44,3
cecrin,101,3
cecrin,101,3
pourbi,143,3
tet2pa,25,3
cecrin,101,3
psycho,154,3
faraoc,126,3
ochrpy,258,3
oenoma,148,3
pourbi,143,3
ingath,251,3
mourmy,158,3
pri2co,19,3
acaldi,193,3
cupasy,124,3
heisco,43,3
des2pa,157,3
malmsp,152,3
cappfr,160,3
mourmy,158,3
laetth,184,3
acaldi,193,3
sympgl,59,4
chr1ec,179,4
faraoc,126,4
soroaf,150,4
protpa,144,4
swars2,139,4
beilpe,9,4
cappfr,160,4
heisco,43,4
faraoc,126,4
chr1ec,179,4
tachve,115,4
hybapr,146,4
pri2co,19,4
protte,4,4
pipeco,240,4
hybapr,146,4
hybapr,146,4
cou2cu,164,4
faraoc,126,4
protte,4,4
psycho,154,4
faraoc,126,4
cordla,132,4
hybapr,146,4
cordla,132,4
alsebl,14,4
faraoc,126,4
tet2pa,25,4
talipr,172,4
swars2,139,4
guarsp,168,4
swars1,21,4
psycho,154,4
socrex,182,4
oenoma,148,4
jac1co,27,4
socrex,182,4
mourmy,158,4
mourmy,158,4
hybapr,146,4
virose,57,4
cupasy,124,4
protte,4,4
mourmy,158,4
hybapr,146,4
gar2in,62,4
chr2ar,28,4
des2pa,157,4
pri2co,19,4
beilpe,9,4
swars1,21,4
heisco,43,4
pri2co,19,4
des2pa,157,4
pri2co,19,4
faraoc,126,4
cassel,95,4
alibed,169,4
cordbi,24,4
apeime,30,4
oenoma,148,4
cappfr,160,4
swars1,21,4
tet2pa,25,4
herrpu,165,4
alibed,169,4
virosu,2,4
hybapr,146,4
mourmy,158,4
tet2pa,25,4
herrpu,165,4
faraoc,126,4
hybapr,146,4
poular,8,4
aegipa,221,4
hybapr,146,4
cou2cu,164,4
guapst,22,4
faraoc,126,4
protpa,144,4
rinosy,155,4
rinosy,155,4
calolo,45,4
tet2pa,25,4
hybapr,146,4
sterap,42,4
hybapr,146,4
socrex,182,4
tab1gu,55,4
hybapr,146,4
mourmy,158,4
tab1gu,55,4
des2pa,157,4
laciag,163,4
pri2co,19,4
oenoma,148,4
oenoma,148,4
gar2in,62,4
poular,8,4
guargr,107,4
sloate,13,4
rinosy,155,4
alsebl,14,4
virose,57,4
socrex,182,4
virose,57,4
faraoc,126,4
sloate,13,4
mourmy,158,4
socrex,182,4
des2pa,157,4
des2pa,157,4
gar2ma,131,4
rinosy,155,4
faraoc,126,4
faraoc,126,4
tri2tu,7,4
tri2tu,7,4
soroaf,150,4
beilpe,9,4
herrpu,165,4
unonpi,76,4
protpa,144,4
pentma,173,4
swars1,21,4
virose,57,4
des2pa,157,4
swars1,21,4
gar2in,62,4
protte,4,4
maquco,161,4
gar2in,62,4
hirttr,16,4
tet2pa,25,4
cou2cu,164,4
tri2tu,7,4
rinosy,155,4
herrpu,165,4
rinosy,155,4
tri2tu,7,4
hirttr,16,4
pla2el,110,4
tri2tu,7,4
laciag,163,4
maytsc,94,4
protpa,144,4
oenoma,148,4
tet2pa,25,4
micone,243,4
des2pa,157,4
psycho,154,4
psycho,154,4
protpa,144,4
mourmy,158,4
alsebl,14,4
gar2in,62,4
faraoc,126,4
soroaf,150,4
beilpe,9,4
chr1ec,179,4
hybapr,146,4
protte,4,4
oenoma,148,4
tri2tu,7,4
faraoc,126,4
faraoc,126,4
des2pa,157,4
hybapr,146,4
beilpe,9,4
beilpe,9,4
faraoc,126,4
sipapa,86,4
tet2pa,25,4
tab1gu,55,4
cordbi,24,4
loncla,88,4
hybapr,146,4
faraoc,126,4
faraoc,126,4
protpa,144,4
loncla,88,4
hybapr,146,4
hirttr,16,4
faraoc,126,4
psycho,154,4
hybapr,146,4
faraoc,126,4
tab1gu,55,4
ingaum,188,4
alsebl,14,4
mourmy,158,4
swars2,139,4
soroaf,150,4
mourmy,158,4
des2pa,157,4
gar2in,62,4
mourmy,158,4
cupasy,124,4
mourmy,158,4
cappfr,160,4
pterro,73,4
ingaco,214,4
hybapr,146,4
faraoc,126,4
oenoma,148,4
faraoc,126,4
alsebl,14,4
pri2co,19,4
gar2in,62,4
laetth,184,4
faraoc,126,4
faraoc,126,4
psycho,154,4
faraoc,126,4
cou2cu,164,4
pri2co,19,4
cordla,132,4
socrex,182,4
ouralu,156,4
nectci,90,4
rinosy,155,4
hybapr,146,4
gar2in,62,4
pri2co,19,4
protpa,144,4
hybapr,146,4
hirttr,16,4
alsebl,14,4
faraoc,126,4
faraoc,126,4
beilpe,9,4
beilpe,9,4
psycma,225,4
hybapr,146,4
laciag,163,4
faraoc,126,4
tri2tu,7,4
faraoc,126,4
hybapr,146,4
guargu,10,4
faraoc,126,4
tab2ar,26,4
mourmy,158,4
tet2pa,25,4
des2pa,157,4
faraoc,126,4
mourmy,158,4
hybapr,146,4
des2pa,157,4
faraoc,126,4
brosal,5,4
faraoc,126,4
beilpe,9,4
eugega,166,5
faraoc,126,5
hybapr,146,5
pri2co,19,5
gar2in,62,5
rinosy,155,5
randar,75,5
beilpe,9,5
cassel,95,5
des2pa,157,5
rinosy,155,5
maquco,161,5
oenoma,148,5
rinosy,155,5
psycho,154,5
hybapr,146,5
pourbi,143,5
rinosy,155,5
rinosy,155,5
rinosy,155,5
virose,57,5
hybapr,146,5
acaldi,193,5
hybapr,146,5
hybapr,146,5
soroaf,150,5
oenoma,148,5
allops,53,5
alsebl,14,5
eugega,166,5
faraoc,126,5
des2pa,157,5
pri2co,19,5
soroaf,150,5
pipeco,240,5
pri2co,19,5
hybapr,146,5
des2pa,157,5
maquco,161,5
unonpi,76,5
rinosy,155,5
rinosy,155,5
des2pa,157,5
protte,4,5
rinosy,155,5
cappfr,160,5
tab2ar,26,5
brosal,5,5
hirttr,16,5
hybapr,146,5
pri2co,19,5
pipeco,240,5
mourmy,158,5
faraoc,126,5
laciag,163,5
faraoc,126,5
heisco,43,5
maquco,161,5
hassfl,96,5
virose,57,5
des2pa,157,5
protte,4,5
rinosy,155,5
des2pa,157,5
faraoc,126,5
psycho,154,5
hybapr,146,5
rinosy,155,5
heisco,43,5
rinosy,155,5
soroaf,150,5
pri2co,19,5
tri2tu,7,5
des2pa,157,5
tropra,70,5
alsebl,14,5
hybapr,146,5
des2pa,157,5
laciag,163,5
oenoma,148,5
protpa,144,5
ery2ma,194,5
cappfr,160,5
des2pa,157,5
tet2pa,25,5
cassel,95,5
protpa,144,5
sloate,13,5
hybapr,146,5
soroaf,150,5
des2pa,157,5
faraoc,126,5
gar2in,62,5
laciag,163,5
faraoc,126,5
soroaf,150,5
bactba,180,5
rinosy,155,5
rinosy,155,5
rinosy,155,5
pri2co,19,5
virose,57,5
soroaf,150,5
poular,8,5
talipr,172,5
rinosy,155,5
hybapr,146,5
pourbi,143,5
hybapr,146,5
malmsp,152,5
mourmy,158,5
psycho,154,5
cordla,132,5
pipeco,240,5
mourmy,158,5
rinosy,155,5
hybapr,146,5
eugeoe,170,5
des2pa,157,5
hybapr,146,5
pri2co,19,5
hybapr,146,5
hybapr,146,5
heisco,43,5
rinosy,155,5
tropra,70,5
poutre,23,5
tet2pa,25,5
faraoc,126,5
mourmy,158,5
mourmy,158,5
faraoc,126,5
cou2cu,164,5
tropra,70,5
ery2ma,194,5
hybapr,146,5
socrex,182,5
socrex,182,5
cordla,132,5
rinosy,155,5
socrex,182,5
rinosy,155,5
socrex,182,5
tet2pa,25,5
jac1co,27,5
jac1co,27,5
jac1co,27,5
tropra,70,5
soroaf,150,5
brosal,5,5
hybapr,146,5
pri2co,19,5
alsebl,14,5
pri2co,19,5
hybapr,146,5
heisco,43,5
swars1,21,5
pri2co,19,5
malmsp,152,5
taline,149,5
pri2co,19,5
soroaf,150,5
des2pa,157,5
coccma,177,5
maquco,161,5
faraoc,126,5
faraoc,126,5
rinosy,155,5
cou2cu,164,5
hybapr,146,5
socrex,182,5
mourmy,158,5
socrex,182,5
socrex,182,5
tab1gu,55,5
virose,57,5
faraoc,126,5
mourmy,158,5
tab2ar,26,5
cassel,95,5
poutre,23,5
socrex,182,5
faraoc,126,5
herrpu,165,5
faraoc,126,5
hybapr,146,5
faraoc,126,5
alsebl,14,5
hirttr,16,5
tet2pa,25,5
laciag,163,5
pri2co,19,5
chr2ar,28,5
swars1,21,5
des2pa,157,5
heisac,183,5
alsebl,14,5
eugega,166,5
guatdu,71,5
eugega,166,5
pri2co,19,5
pri2co,19,5
rinosy,155,5
tropra,70,5
swars2,139,5
pterro,73,5
swars1,21,5
ingaum,188,5
faraoc,126,5
hybapr,146,5
coccma,177,5
hybapr,146,5
mourmy,158,5
virose,57,5
des2pa,157,5
soroaf,150,5
faraoc,126,5
heisco,43,5
soroaf,150,5
soroaf,150,5
laciag,163,5
hybapr,146,5
hybapr,146,5
ocotce,106,6
hybapr,146,6
des2pa,157,6
psycho,154,6
rinosy,155,6
des2pa,157,6
des2pa,157,6
simaam,39,6
rinosy,155,6
acaldi,193,6
hybapr,146,6
cappfr,160,6
tab2ar,26,6
des2pa,157,6
hybapr,146,6
eugega,166,6
rinosy,155,6
pipeco,240,6
guarsp,168,6
tet2pa,25,6
eugega,166,6
hybapr,146,6
mourmy,158,6
ingaqu,167,6
eugega,166,6
hybapr,146,6
beilpe,9,6
eugega,166,6
heisco,43,6
soroaf,150,6
des2pa,157,6
tet2pa,25,6
hirttr,16,6
mourmy,158,6
cassel,95,6
sloate,13,6
cou2cu,164,6
psycho,154,6
heisco,43,6
swars2,139,6
swars1,21,6
tet2pa,25,6
eugega,166,6
des2pa,157,6
hirttr,16,6
tet2pa,25,6
eugega,166,6
calolo,45,6
simaam,39,6
eugega,166,6
tet2pa,25,6
des2pa,157,6
des2pa,157,6
hybapr,146,6
acaldi,193,6
protpa,144,6
pri2co,19,6
cou2cu,164,6
mourmy,158,6
ingaum,188,6
virose,57,6
cappfr,160,6
faraoc,126,6
des2pa,157,6
eugega,166,6
hirttr,16,6
soroaf,150,6
alsebl,14,6
stylst,171,6
des2pa,157,6
tab2ar,26,6
tri2tu,7,6
soroaf,150,6
maquco,161,6
alsebl,14,6
hybapr,146,6
aspicr,60,6
swars1,21,6
alsebl,14,6
des2pa,157,6
faraoc,126,6
hybapr,146,6
randar,75,6
soroaf,150,6
chr1ec,179,6
maquco,161,6
faraoc,126,6
heisco,43,6
hybapr,146,6
hirttr,16,6
oenoma,148,6
soroaf,150,6
maquco,161,6
oenoma,148,6
mourmy,158,6
andiin,99,6
swars2,139,6
alsebl,14,6
faraoc,126,6
cou2cu,164,6
eugega,166,6
chr2ar,28,6
ingaum,188,6
rinosy,155,6
virose,57,6
mourmy,158,6
laciag,163,6
socrex,182,6
pri2co,19,6
dendar,89,6
faraoc,126,6
oenoma,148,6
faraoc,126,6
faraoc,126,6
faraoc,126,6
pri2co,19,6
rinosy,155,6
herrpu,165,6
pri2co,19,6
tet2pa,25,6
acaldi,193,6
hameax,222,6
acaldi,193,6
hybapr,146,6
pipeco,240,6
alibed,169,6
tet2pa,25,6
calolo,45,6
hybapr,146,6
pipeco,240,6
psycho,154,6
acaldi,193,6
micone,243,6
eugega,166,6
des2pa,157,6
mourmy,158,6
hybapr,146,6
ingaqu,167,6
des2pa,157,6
guatdu,71,6
neeaam,229,6
talipr,172,6
hirttr,16,6
swars1,21,6
faraoc,126,6
cassel,95,6
nectpu,181,6
hirttr,16,6
protte,4,6
rinosy,155,6
eugega,166,6
eugega,166,6
guetfo,54,6
loncla,88,6
alsebl,14,6
talipr,172,6
ingaum,188,6
mourmy,158,6
des2pa,157,6
socrex,182,6
eugega,166,6
talipr,172,6
hybapr,146,6
des2pa,157,6
faraoc,126,6
gar2in,62,6
socrex,182,6
ingath,251,6
cappfr,160,6
eugega,166,6
guargu,10,6
calolo,45,6
eugega,166,6
calolo,45,6
hybapr,146,6
nectpu,181,6
cecrin,101,6
heisco,43,6
rinosy,155,6
rinosy,155,6
crotbi,239,6
heisco,43,6
randar,75,6
hirttr,16,6
laciag,163,6
faraoc,126,6
psycho,154,6
eugega,166,6
caseac,162,6
pri2co,19,6
heisco,43,6
heisco,43,6
des2pa,157,6
mourmy,158,6
pterro,73,6
hybapr,146,6
soroaf,150,6
hybapr,146,6
protpa,144,6
coccma,177,6
hybapr,146,6
brosal,5,6
ocotce,106,6
swars1,21,6
cassel,95,6
eugega,166,6
gar2ma,131,6
heisco,43,6
des2pa,157,6
ouralu,156,6
mourmy,158,6
micoaf,215,6
mourmy,158,6
faraoc,126,6
hybapr,146,6
eugeoe,170,6
hybapr,146,6
des2pa,157,6
pri2co,19,6
pri2co,19,6
alsebl,14,6
swars1,21,6
hirttr,16,6
hybapr,146,6
hirttr,16,6
mourmy,158,6
rinosy,155,6
loncla,88,6
hirttr,16,6
eugega,166,6
mourmy,158,6
hybapr,146,6
faraoc,126,6
brosal,5,6
hirttr,16,6
psycho,154,6
faraoc,126,6
rinosy,155,6
mourmy,158,6
protco,175,6
hirttr,16,6
faraoc,126,6
coccma,177,6
hybapr,146,6
hybapr,146,6
faraoc,126,6
ingaum,188,6
unonpi,76,6
hybapr,146,6
virose,57,6
tachve,115,6
pterro,73,6
guatdu,71,6
rinosy,155,6
beilpe,9,6
swars2,139,6
protpa,144,6
swars1,21,6
cordla,132,6
hybapr,146,6
des2pa,157,6
guapst,22,6
chr1ec,179,6
pri2co,19,6
randar,75,6
unonpi,76,6
hirttr,16,6
beilpe,9,6
swars1,21,6
cupasy,124,6
oenoma,148,6
pri2co,19,6
chr2ar,28,6
beilpe,9,6
tab2ar,26,6
soroaf,150,6
mourmy,158,6
brosal,5,7
heisco,43,7
soroaf,150,7
faraoc,126,7
des2pa,157,7
swars1,21,7
mourmy,158,7
ingaqu,167,7
gar2in,62,7
brosal,5,7
cappfr,160,7
ocotwh,74,7
cordbi,24,7
malmsp,152,7
virose,57,7
hybapr,146,7
protpa,144,7
psycho,154,7
socrex,182,7
tet2pa,25,7
socrex,182,7
swars1,21,7
heisco,43,7
alsebl,14,7
nectgl,108,7
cupasy,124,7
eugega,166,7
pri2co,19,7
soroaf,150,7
sloate,13,7
swars1,21,7
pri2co,19,7
tet2pa,25,7
protco,175,7
herrpu,165,7
protte,4,7
protpa,144,7
socrex,182,7
hirttr,16,7
gar2in,62,7
simaam,39,7
cappfr,160,7
des2pa,157,7
hybapr,146,7
ingaum,188,7
pri2co,19,7
des2pa,157,7
ingama,174,7
nectgl,108,7
sipapa,86,7
pri2co,19,7
malmsp,152,7
cassel,95,7
ery2ma,194,7
nectci,90,7
sloate,13,7
alsebl,14,7
pri2co,19,7
tachve,115,7
tab2ar,26,7
olmeas,178,7
faraoc,126,7
faraoc,126,7
poutre,23,7
maquco,161,7
tet2pa,25,7
guapst,22,7
faraoc,126,7
alsebl,14,7
protpa,144,7
protpa,144,7
alsebl,14,7
maquco,161,7
beilpe,9,7
gar2in,62,7
des2pa,157,7
des2pa,157,7
tet2pa,25,7
soroaf,150,7
des2pa,157,7
faraoc,126,7
eugega,166,7
alsebl,14,7
mourmy,158,7
ingaum,188,7
socrex,182,7
gar2in,62,7
simaam,39,7
soroaf,150,7
hybapr,146,7
hybapr,146,7
eugega,166,7
laciag,163,7
gar2in,62,7
heisco,43,7
oenoma,148,7
coccma,177,7
faraoc,126,7
des2pa,157,7
faraoc,126,7
faraoc,126,7
tet2pa,25,7
