0,0.1,ACCGEN,ACCNIS,ACRARU,ACRRIS,ACRSCH,ACRSCI,ACTHYP,AEGCAU,AEGMON,AIXGAL,ALAARV,ALCATT,ALERUF,ALOAEG,ANACLY,ANACRE,ANAPLA,ANASTR,ANSANS,ANTCAM,ANTPRA,ANTSPI,ANTTRI,APUAPU,APUMEL,APUPAL,AQUCHR,ARDCIN,ARDPUR,ARDSPE,AREINT,ASIOTU,ATHNOC,AYTFER,AYTFUL,BOMGAR,BONBON,BOTSTE,BRACAN,BUBBUB,BUBIBI,BUROED,BUTBUT,CALALP,CALBRA,CALCAN,CAPEUR,CARCAN,CARCAR,CARCHL,CARFLA,CARSPI,CERBRA,CERFAM,CETCET,CHAALE,CHADUB,CHLHYB,CHLNIG,CICCIC,CICNIG,CINCIN,CIRAER,CIRCYA,CIRGAL,CIRPYG,CISJUN,CLAGLA,COCCOC,COLLIV,COLOEN,COLPAL,CORCOR,CORFRU,CORGAR,CORMON,CORRAX,COTCOT,CRECRE,CUCCAN,CYGCOL,CYGOLO,DELURB,DENMAJ,DENMED,DENMIN,DRYMAR,EGRALB,EGRGAR,EMBCIA,EMBCIR,EMBCIT,EMBHOR,EMBSCH,ERIRUB,FALCOL,FALNAU,FALPER,FALSUB,FALTIN,FALVES,FICHYP,FRICOE,FRIMON,FULATR,GALCHL,GALCRI,GALGAL,GARGLA,GELNIL,GRUGRU,GYPFUL,HIEPEN,HIMHIM,HIPICT,HIPPOL,HIRRUS,JYNTOR,LANCOL,LANEXC,LANMER,LANSEN,LARARG,LARCAN,LARFUS,LARMAR,LARMEL,LARMIC,LARRID,LIMLIM,LOCLUS,LOCNAE,LOXCUR,LULARB,LUSMEG,LUSSVE,MELCAL,MERAPI,MERMER,MILCAL,MILMIG,MILMIL,MONNIV,MONSAX,MONSOL,MOTALB,MOTCIN,MOTFLA,MOTIMA,MUSSTR,NEOPER,NETRUF,NUCCAR,NUMARQ,NUMPHA,NYCNYC,OENOEN,ORIORI,OTUSCO,PANBIA,PANHAL,PARATE,PARCAE,PARCRI,PARCYA,PARMAJ,PARMON,PARPAL,PASDOM,PASMON,PERAPI,PERPER,PETPET,PHAARI,PHACAR,PHACOL,PHOCHI,PHOOCH,PHOPHO,PHORUB,PHYBON,PHYCOL,PHYIBE,PHYSIB,PHYTRO,PICCAN,PICPIC,PICTRI,PICVIR,PLALEU,PLEFAL,PODCRI,PRUCOL,PRUMOD,PSIKRA,PTEALC,PTYRUP,PYRGRA,PYRPYR,PYRRAX,RALAQU,RECAVO,REGIGN,REGREG,RIPRIP,SAXRUB,SAXTOR,SCORUS,SERCIT,SERSER,SITEUR,STEALB,STEHIR,STESAN,STRALU,STRDEC,STRTUR,STUUNI,STUVUL,SULBAS,SYLATR,SYLBOR,SYLCAN,SYLCOM,SYLCON,SYLCUR,SYLHOR,SYLMEL,SYLUND,TACRUF,TADTAD,TETRAX,THRAET,TRIGLA,TRINEB,TRIOCH,TRITOT,TROTRO,TURILI,TURMER,TURPHI,TURPIL,TURTOR,TURVIS,UPUEPO,VANVAN
861100,2442200,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,7,6,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,18,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0,3,0,1,0,21,1,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,22,9,1,0,2,0,0
863100,1826200,0,0,0,0,0,0,0,8,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,26,3,0,0,8,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,0,0,0,0,0,0,0,13,0,0,0,0,0,4,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,3,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,16,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,2,0,0,0,0,27,0,0,0,0,24,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0
863100,2030200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,28,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,10,0,14,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,6,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,4,0,0,48,0,0,0,0,0,4,0,0,7,0,0,0,0,0,0,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,20,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0
865100,2236200,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,9,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,21,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,15,0,0,2,0,0,0,0,2,0,0,10,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,5,0,1,7,1,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,1,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,9,3,0,14,0,11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,8,7,0,0,1,1,0
865100,2408200,0,1,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,12,44,0,0,0,0,3,0,2,0,0,0,6,0,0,1,0,0,0,0,8,0,0,3,0,0,0,0,1,0,0,18,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,11,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,8,0,0,4,0,2,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,6,0,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,12,4,0,0,1,0,0
867100,2036200,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,8,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,2,0,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,32,0,6,0,4,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,2,0,0,0,0,0,0,0,0,0,0,32,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,6,4,0,4,22,0,0
867100,2042200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,2,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,12,0,0,1,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,1,0,2,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,2,0,0,0,6,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,14,0,6,16,0,4,6,0,0
867100,2050200,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,15,0,0,0,0,0,0,2,0,0,0,7,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,20,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,8,0,0,21,0,6,5,0,0,0,0,0,5,0,0,3,1,0,0,7,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,13,11,0,0,0,0,0
867100,2208200,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,27,10,0,0,0,0,0,0,3,0,0,0,7,1,0,3,0,0,0,0,1,0,0,10,0,0,0,0,1,0,0,38,0,0,0,0,0,10,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,7,3,0,9,0,5,0,0,1,0,0,0,0,0,0,1,1,0,0,8,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,24,23,0,0,18,0,0
867100,2212200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,3,0,0,0,0,0,0,3,0,0,0,9,0,0,6,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,36,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,21,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,15,36,0,0,6,0,0
